# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
-0.143175,0.081264,-0.379400,0.67020860,0.02547357,-0.74150780,0.01837573,0.278743,0.765405,0.573130,-0.99709920,-0.03640572,-0.06676114,0.00330151,72048
-0.143216,0.081259,-0.379593,0.67027590,0.02542467,-0.74144890,0.01836906,0.278741,0.765382,0.573136,-0.99710120,-0.03623674,-0.06681871,0.00338993,74049
-0.143148,0.081067,-0.379606,0.67024360,0.02536068,-0.74148050,0.01835923,0.278716,0.765400,0.573129,-0.99709930,-0.03636125,-0.06678159,0.00334559,76049
-0.143236,0.081155,-0.379603,0.67029960,0.02552824,-0.74142360,0.01838166,0.278731,0.765388,0.573130,-0.99709900,-0.03626994,-0.06683245,0.00339895,78050
-0.143283,0.081432,-0.379495,0.67028800,0.02548266,-0.74143300,0.01849155,0.278713,0.765413,0.573140,-0.99709960,-0.03630070,-0.06680885,0.00335984,80050
-0.143237,0.081504,-0.379566,0.67029790,0.02563051,-0.74141870,0.01849538,0.278716,0.765395,0.573135,-0.99709730,-0.03634044,-0.06681804,0.00344363,82050
-0.143185,0.081303,-0.379492,0.67022620,0.02547989,-0.74149070,0.01841559,0.278735,0.765372,0.573107,-0.99710080,-0.03631832,-0.06678269,0.00331863,84051
-0.142986,0.081055,-0.379658,0.67032310,0.02539582,-0.74140930,0.01828401,0.278723,0.765392,0.573129,-0.99709610,-0.03639344,-0.06680917,0.00339277,86051
-0.143142,0.081044,-0.379457,0.67027290,0.02535197,-0.74145460,0.01834591,0.278727,0.765393,0.573116,-0.99709780,-0.03640180,-0.06678075,0.00336643,88052
-0.142803,0.081139,-0.379461,0.67021070,0.02525887,-0.74151580,0.01827616,0.278719,0.765396,0.573132,-0.99710360,-0.03625514,-0.06677498,0.00331689,90052
-0.143222,0.081171,-0.379676,0.67028560,0.02538194,-0.74144200,0.01834891,0.278716,0.765400,0.573134,-0.99710070,-0.03628734,-0.06679936,0.00338007,92053
-0.143184,0.081099,-0.379588,0.67026860,0.02536144,-0.74145670,0.01840614,0.278754,0.765400,0.573130,-0.99710150,-0.03624044,-0.06681268,0.00334930,94053
-0.143258,0.081182,-0.379787,0.67032770,0.02543157,-0.74140290,0.01832345,0.278775,0.765420,0.573135,-0.99709960,-0.03622570,-0.06684916,0.00337492,96053
