,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,Unlabeled 1878,Unlabeled 1878,Unlabeled 1878,Unlabeled 1919,Unlabeled 1919,Unlabeled 1919,Unlabeled 1920,Unlabeled 1920,Unlabeled 1920,Unlabeled 1923,Unlabeled 1923,Unlabeled 1923,Unlabeled 1924,Unlabeled 1924,Unlabeled 1924,Unlabeled 1925,Unlabeled 1925,Unlabeled 1925,Unlabeled 1933,Unlabeled 1933,Unlabeled 1933,Unlabeled 1935,Unlabeled 1935,Unlabeled 1935,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker4,lh_rb_v2:Marker4,lh_rb_v2:Marker4
,ID,"89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","D9E50","D9E50","D9E50","DA770","DA770","DA770","DA750","DA750","DA750","DA7B0","DA7B0","DA7B0","DA7A0","DA7A0","DA7A0","DA7C0","DA7C0","DA7C0","DA850","DA850","DA850","DA870","DA870","DA870","D9D10","D9D10","D9D10","D9CF0","D9CF0","D9CF0","D9D20","D9D20","D9D20","D9D00","D9D00","D9D00"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,0.183333,-0.129004,0.058994,-0.007958,-0.989856,0.058414,1.243789,0.061008,-0.170594,0.674802,0.500960,,,,,,,,,,,,,,,,,,,,,,0.007012,1.261534,0.057076,0.053483,1.234744,0.095358,0.057133,1.277820,0.069903,0.098573,1.250840,0.066246
23,0.191667,-0.129025,0.058992,-0.007892,-0.989854,0.058478,1.243802,0.060977,-0.170600,0.674810,0.500957,,,,,,,,,,,,,,,,,,,,,,0.007074,1.261553,0.057045,0.053547,1.234756,0.095329,0.057203,1.277837,0.069876,0.098640,1.250847,0.066213
24,0.200000,-0.129073,0.058907,-0.007745,-0.989854,0.058544,1.243822,0.060951,-0.170604,0.674805,0.500952,,,,,,,,,,,,,,,,,,,,,,0.007142,1.261590,0.057030,0.053621,1.234772,0.095305,0.057278,1.277856,0.069854,0.098711,1.250855,0.066180
25,0.208333,-0.129240,0.058840,-0.007617,-0.989837,0.058622,1.243836,0.060929,-0.170601,0.674805,0.500947,,,,,,,,,,,,,,,,,,,,,,0.007221,1.261615,0.057023,0.053708,1.234772,0.095279,0.057364,1.277872,0.069841,0.098787,1.250855,0.066157
26,0.216667,-0.129216,0.058727,-0.007511,-0.989847,0.058704,1.243842,0.060907,-0.170606,0.674813,0.500956,,,,,,,,,,,,,,,,,,,,,,0.007304,1.261633,0.057015,0.053801,1.234772,0.095261,0.057449,1.277887,0.069811,0.098877,1.250850,0.066128
27,0.225000,-0.129664,0.058602,-0.007455,-0.989797,0.058798,1.243853,0.060867,-0.170595,0.674803,0.500950,,,,,,,,,,,,,,,,,,,,,,0.007405,1.261644,0.057010,0.053908,1.234769,0.095195,0.057535,1.277892,0.069807,0.098973,1.250843,0.066091
28,0.233333,-0.129582,0.058559,-0.007346,-0.989811,0.058885,1.243853,0.060844,-0.170598,0.674805,0.500967,,,,,,,,,,,,,,,,,,,,,,0.007499,1.261650,0.056986,0.053998,1.234778,0.095176,0.057626,1.277901,0.069788,0.099063,1.250829,0.066056
29,0.241667,-0.129408,0.058581,-0.007330,-0.989832,0.058979,1.243849,0.060817,-0.170599,0.674801,0.500963,,,,,,,,,,,,,,,,,,,,,,0.007589,1.261654,0.056950,0.054091,1.234784,0.095155,0.057728,1.277887,0.069745,0.099154,1.250834,0.066031
30,0.250000,-0.129306,0.058557,-0.007271,-0.989848,0.059073,1.243855,0.060786,-0.170609,0.674800,0.500962,,,,,,,,,,,,,,,,,,,,,,0.007684,1.261666,0.056919,0.054185,1.234796,0.095127,0.057837,1.277889,0.069704,0.099241,1.250843,0.065997
31,0.258333,-0.128968,0.058690,-0.007400,-0.989883,0.059181,1.243850,0.060746,-0.170618,0.674793,0.500961,,,,,,,,,,,,,,,,,,,,,,0.007805,1.261640,0.056844,0.054275,1.234816,0.095099,0.057944,1.277895,0.069654,0.099328,1.250851,0.065949
