kbPos,-0.4213,0.0267,0.8426,kbRot,-0.94550690,-0.16671840,0.27543230,-0.04856616,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
-0.3475,-0.0795,0.8053,-0.4138,0.0135,0.8407,-0.1845,0.1248,0.4299,0.954621,0.127104,-0.268496,-0.021269,413576.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3486,-0.0789,0.8044,-0.4149,0.0140,0.8397,-0.1847,0.1248,0.4298,0.954539,0.127076,-0.268768,-0.021678,413592.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3486,-0.0789,0.8044,-0.4149,0.0140,0.8396,-0.1849,0.1248,0.4297,0.954352,0.127092,-0.269416,-0.021790,413608.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3486,-0.0789,0.8044,-0.4150,0.0140,0.8394,-0.1852,0.1248,0.4295,0.954128,0.127088,-0.270162,-0.022368,413625.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3506,-0.0782,0.8029,-0.4170,0.0147,0.8380,-0.1854,0.1248,0.4294,0.954023,0.127191,-0.270467,-0.022605,413642.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3516,-0.0779,0.8022,-0.4181,0.0150,0.8372,-0.1855,0.1248,0.4294,0.953992,0.127217,-0.270552,-0.022727,413659.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3516,-0.0779,0.8022,-0.4181,0.0150,0.8372,-0.1858,0.1249,0.4293,0.954070,0.127318,-0.270177,-0.023359,413675.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3535,-0.0774,0.8013,-0.4199,0.0156,0.8364,-0.1859,0.1248,0.4293,0.954179,0.127606,-0.269672,-0.023162,413693.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3535,-0.0774,0.8013,-0.4199,0.0156,0.8365,-0.1860,0.1249,0.4291,0.954260,0.127836,-0.269333,-0.022484,413709.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3551,-0.0769,0.8005,-0.4214,0.0160,0.8357,-0.1863,0.1249,0.4290,0.954289,0.127506,-0.269415,-0.022167,413726.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3551,-0.0769,0.8005,-0.4215,0.0160,0.8357,-0.1867,0.1250,0.4290,0.954189,0.126705,-0.270185,-0.021669,413742.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3551,-0.0769,0.8005,-0.4216,0.0160,0.8355,-0.1871,0.1250,0.4289,0.953973,0.126421,-0.271098,-0.021405,413759.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3566,-0.0765,0.7998,-0.4232,0.0165,0.8347,-0.1875,0.1249,0.4288,0.953717,0.126593,-0.271924,-0.021327,413777.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3592,-0.0758,0.7988,-0.4258,0.0171,0.8336,-0.1878,0.1247,0.4286,0.953449,0.127121,-0.272612,-0.021421,413792.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3592,-0.0758,0.7988,-0.4258,0.0171,0.8335,-0.1881,0.1246,0.4285,0.953266,0.127528,-0.273061,-0.021395,413809.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3605,-0.0754,0.7982,-0.4271,0.0175,0.8329,-0.1883,0.1246,0.4284,0.953211,0.127625,-0.273215,-0.021293,413826.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3605,-0.0754,0.7982,-0.4271,0.0175,0.8329,-0.1885,0.1247,0.4284,0.953268,0.127408,-0.273151,-0.020884,413841.80,,,,,,,,,,,,,,,,,,,,,,,,,,
