Format Version,1.23,Take Name,kb_qpzapos_head_duck_left_on_space,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-11-28 06.31.16.349 PM,Total Frames in Take,8328,Total Exported Frames,8328,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.096539,0.001126,-0.026544,-0.994975,0.077952,1.265052,0.266417,0.093649,1.121311,0.713633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025579,1.280223,0.267021,0.077299,1.258281,0.301635,0.075836,1.299535,0.273174,0.118017,1.274183,0.266675
17,0.141667,-0.096567,0.001139,-0.026545,-0.994972,0.077955,1.265042,0.266413,0.093675,1.121296,0.713606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025581,1.280214,0.267018,0.077301,1.258269,0.301631,0.075838,1.299526,0.273170,0.118021,1.274173,0.266673
18,0.150000,-0.096573,0.001201,-0.026525,-0.994972,0.077958,1.265028,0.266414,0.093720,1.121262,0.713571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025583,1.280202,0.267012,0.077301,1.258254,0.301631,0.075842,1.299512,0.273171,0.118024,1.274156,0.266679
19,0.158333,-0.096627,0.001228,-0.026513,-0.994967,0.077962,1.265019,0.266416,0.093784,1.121195,0.713551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025587,1.280192,0.267014,0.077302,1.258242,0.301632,0.075846,1.299506,0.273179,0.118030,1.274143,0.266684
20,0.166667,-0.096662,0.001280,-0.026503,-0.994964,0.077968,1.265009,0.266417,0.093820,1.121073,0.713553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025593,1.280184,0.267012,0.077307,1.258228,0.301629,0.075854,1.299495,0.273179,0.118035,1.274133,0.266693
21,0.175000,-0.096680,0.001301,-0.026467,-0.994963,0.077977,1.265005,0.266427,0.093853,1.121025,0.713581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025606,1.280184,0.267021,0.077314,1.258223,0.301639,0.075863,1.299491,0.273190,0.118041,1.274125,0.266705
22,0.183333,-0.096660,0.001322,-0.026478,-0.994964,0.077991,1.264998,0.266435,0.093837,1.120949,0.713622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025619,1.280177,0.267024,0.077330,1.258219,0.301646,0.075877,1.299486,0.273198,0.118054,1.274117,0.266715
23,0.191667,-0.096649,0.001273,-0.026449,-0.994966,0.078007,1.264987,0.266443,0.093786,1.120888,0.713688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025638,1.280167,0.267036,0.077348,1.258209,0.301658,0.075895,1.299478,0.273208,0.118071,1.274104,0.266716
24,0.200000,-0.096797,0.001229,-0.026466,-0.994951,0.078032,1.264969,0.266450,0.093738,1.120812,0.713765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025661,1.280145,0.267054,0.077378,1.258179,0.301660,0.075915,1.299462,0.273224,0.118098,1.274083,0.266724
25,0.208333,-0.096909,0.001197,-0.026535,-0.994939,0.078064,1.264935,0.266462,0.093706,1.120726,0.713838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025698,1.280096,0.267069,0.077412,1.258143,0.301667,0.075941,1.299439,0.273252,0.118125,1.274047,0.266732
