kbPos,-0.4213,0.0267,0.8426,kbRot,-0.94550690,-0.16671840,0.27543230,-0.04856616,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
-0.4052,-0.0825,0.7980,-0.4710,0.0105,0.8343,-0.1376,0.1524,0.3482,0.957960,0.105140,-0.266657,0.012371,100482.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1376,0.1523,0.3482,0.957980,0.105314,-0.266509,0.012525,100498.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1376,0.1523,0.3482,0.957981,0.105666,-0.266353,0.012788,100515.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1375,0.1523,0.3482,0.958019,0.105688,-0.266208,0.012745,100531.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1375,0.1523,0.3482,0.958019,0.105671,-0.266218,0.012667,100548.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1375,0.1523,0.3482,0.958047,0.105704,-0.266104,0.012680,100565.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1374,0.1524,0.3482,0.958051,0.105469,-0.266177,0.012817,100582.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4688,0.0133,0.8309,-0.1375,0.1524,0.3481,0.957994,0.105151,-0.266512,0.012729,100598.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1375,0.1524,0.3481,0.957943,0.105170,-0.266707,0.012310,100614.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1375,0.1525,0.3481,0.957901,0.104968,-0.266944,0.012166,100631.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1375,0.1525,0.3481,0.957821,0.105028,-0.267200,0.012331,100648.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1374,0.1524,0.3480,0.957798,0.105179,-0.267218,0.012449,100664.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1374,0.1524,0.3480,0.957812,0.105191,-0.267160,0.012538,100681.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1373,0.1524,0.3480,0.957867,0.105059,-0.267020,0.012391,100698.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1372,0.1524,0.3480,0.957897,0.105093,-0.266896,0.012480,100715.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1372,0.1524,0.3480,0.957903,0.105223,-0.266823,0.012474,100731.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1371,0.1523,0.3479,0.957927,0.105226,-0.266743,0.012303,100747.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1370,0.1523,0.3479,0.957930,0.105362,-0.266682,0.012273,100764.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4031,-0.0797,0.7945,-0.4689,0.0133,0.8308,-0.1369,0.1523,0.3479,0.957925,0.105381,-0.266693,0.012212,100781.00,,,,,,,,,,,,,,,,,,,,,,,,,,
