kbPos,-0.2683,-0.0570,0.7959,kbRot,0.86449740,0.15243420,0.47168920,-0.08317154,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
h_x,h_y,h_z,p_z,p_y,p_z,head_x,head_y,head_z,head_q_w,head_q_w,head_q_x,head_q_z,t,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3256,-0.1378,0.7986,-0.2914,-0.0448,0.8655,-0.6608,0.0466,0.6165,0.868750,0.095290,0.476245,-0.096871,760748.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3256,-0.1378,0.7986,-0.2914,-0.0448,0.8655,-0.6599,0.0462,0.6171,0.868550,0.096148,0.476363,-0.097236,760765.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3244,-0.1382,0.7992,-0.2901,-0.0452,0.8660,-0.6590,0.0458,0.6176,0.868287,0.097039,0.476562,-0.097722,760781.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3244,-0.1382,0.7992,-0.2900,-0.0452,0.8660,-0.6581,0.0453,0.6181,0.867947,0.098188,0.476823,-0.098323,760798.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3232,-0.1386,0.8001,-0.2888,-0.0457,0.8669,-0.6573,0.0448,0.6186,0.867637,0.099460,0.477019,-0.098823,760816.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3232,-0.1386,0.8001,-0.2888,-0.0457,0.8669,-0.6566,0.0443,0.6191,0.867300,0.100419,0.477295,-0.099481,760831.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3282,-0.1370,0.7973,-0.2938,-0.0441,0.8640,-0.6558,0.0439,0.6195,0.866911,0.101310,0.477672,-0.100158,760848.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3282,-0.1370,0.7973,-0.2937,-0.0441,0.8640,-0.6550,0.0434,0.6200,0.866532,0.101936,0.478170,-0.100429,760865.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3284,-0.1367,0.7973,-0.2938,-0.0438,0.8640,-0.6543,0.0431,0.6205,0.866297,0.102323,0.478443,-0.100756,760882.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3282,-0.1366,0.7976,-0.2936,-0.0436,0.8643,-0.6537,0.0428,0.6210,0.866255,0.102854,0.478386,-0.100852,760898.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3282,-0.1366,0.7976,-0.2936,-0.0436,0.8643,-0.6532,0.0426,0.6215,0.866320,0.103695,0.478122,-0.100682,760915.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3282,-0.1366,0.7976,-0.2937,-0.0436,0.8643,-0.6528,0.0423,0.6220,0.866511,0.104291,0.477685,-0.100498,760932.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3281,-0.1363,0.7975,-0.2937,-0.0434,0.8643,-0.6525,0.0420,0.6225,0.866742,0.104635,0.477205,-0.100425,760948.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3289,-0.1357,0.7969,-0.2946,-0.0427,0.8637,-0.6521,0.0418,0.6230,0.866974,0.104872,0.476731,-0.100421,760965.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3289,-0.1357,0.7969,-0.2947,-0.0427,0.8638,-0.6518,0.0418,0.6235,0.867178,0.105215,0.476279,-0.100457,760981.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3288,-0.1356,0.7970,-0.2946,-0.0426,0.8639,-0.6515,0.0416,0.6240,0.867444,0.105772,0.475702,-0.100306,760998.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3288,-0.1356,0.7970,-0.2947,-0.0426,0.8639,-0.6513,0.0414,0.6243,0.867566,0.106217,0.475435,-0.100042,761015.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3288,-0.1356,0.7970,-0.2947,-0.0426,0.8639,-0.6510,0.0412,0.6247,0.867590,0.106637,0.475343,-0.099828,761031.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3278,-0.1360,0.7979,-0.2936,-0.0430,0.8648,-0.6507,0.0411,0.6249,0.867559,0.106732,0.475398,-0.099727,761048.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3268,-0.1363,0.7987,-0.2926,-0.0434,0.8656,-0.6504,0.0411,0.6252,0.867483,0.106611,0.475595,-0.099583,761065.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3268,-0.1363,0.7987,-0.2926,-0.0434,0.8656,-0.6502,0.0411,0.6254,0.867451,0.106811,0.475695,-0.099174,761081.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3268,-0.1363,0.7987,-0.2926,-0.0434,0.8656,-0.6501,0.0411,0.6257,0.867519,0.107122,0.475574,-0.098819,761098.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3260,-0.1366,0.7995,-0.2918,-0.0437,0.8664,-0.6499,0.0411,0.6260,0.867711,0.107127,0.475294,-0.098472,761115.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3253,-0.1369,0.8001,-0.2911,-0.0440,0.8670,-0.6497,0.0410,0.6263,0.867938,0.106991,0.475008,-0.097996,761131.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3253,-0.1369,0.8001,-0.2912,-0.0440,0.8670,-0.6494,0.0411,0.6265,0.868132,0.106640,0.474779,-0.097771,761147.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3246,-0.1370,0.8006,-0.2905,-0.0441,0.8675,-0.6493,0.0410,0.6268,0.868241,0.106056,0.474728,-0.097691,761165.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3246,-0.1370,0.8006,-0.2905,-0.0441,0.8675,-0.6492,0.0410,0.6271,0.868422,0.105676,0.474594,-0.097142,761181.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3242,-0.1371,0.8009,-0.2901,-0.0441,0.8679,-0.6491,0.0409,0.6273,0.868517,0.105852,0.474522,-0.096448,761198.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3242,-0.1371,0.8009,-0.2901,-0.0441,0.8679,-0.6489,0.0409,0.6276,0.868566,0.106114,0.474544,-0.095608,761215.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3236,-0.1373,0.8015,-0.2895,-0.0443,0.8684,-0.6488,0.0409,0.6278,0.868648,0.105839,0.474584,-0.094974,761231.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3236,-0.1373,0.8015,-0.2895,-0.0443,0.8684,-0.6486,0.0409,0.6280,0.868554,0.105752,0.474964,-0.094023,761247.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3233,-0.1374,0.8018,-0.2890,-0.0445,0.8687,-0.6484,0.0408,0.6280,0.868140,0.106255,0.475776,-0.093169,761265.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3233,-0.1374,0.8018,-0.2888,-0.0445,0.8686,-0.6481,0.0407,0.6279,0.867540,0.106770,0.476916,-0.092341,761280.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3231,-0.1374,0.8020,-0.2884,-0.0445,0.8686,-0.6478,0.0405,0.6277,0.866808,0.107359,0.478214,-0.091813,761298.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3231,-0.1374,0.8020,-0.2881,-0.0445,0.8685,-0.6475,0.0404,0.6276,0.865903,0.107871,0.479763,-0.091669,761314.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3231,-0.1373,0.8014,-0.2879,-0.0443,0.8678,-0.6472,0.0403,0.6275,0.865090,0.108091,0.481195,-0.091582,761331.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3231,-0.1373,0.8014,-0.2877,-0.0443,0.8677,-0.6468,0.0402,0.6274,0.864334,0.108133,0.482676,-0.090873,761347.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3228,-0.1373,0.8013,-0.2871,-0.0444,0.8674,-0.6465,0.0401,0.6274,0.863751,0.108693,0.483717,-0.090210,761364.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3228,-0.1373,0.8013,-0.2870,-0.0444,0.8673,-0.6462,0.0400,0.6273,0.863200,0.109293,0.484643,-0.089787,761380.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3224,-0.1373,0.8007,-0.2865,-0.0444,0.8667,-0.6459,0.0398,0.6273,0.862722,0.109928,0.485409,-0.089470,761397.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3224,-0.1373,0.8007,-0.2864,-0.0444,0.8666,-0.6456,0.0397,0.6273,0.862343,0.110266,0.486022,-0.089377,761414.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3220,-0.1375,0.8004,-0.2859,-0.0445,0.8663,-0.6454,0.0396,0.6274,0.862066,0.110273,0.486462,-0.089648,761430.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3220,-0.1375,0.8004,-0.2859,-0.0445,0.8663,-0.6452,0.0396,0.6275,0.861980,0.110253,0.486568,-0.089924,761447.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3203,-0.1385,0.7998,-0.2843,-0.0455,0.8657,-0.6450,0.0395,0.6276,0.862085,0.110576,0.486273,-0.090119,761464.80,,,,,,,,,,,,,,,,,,,,,,,,,,
