kbPos,-0.2683,-0.0570,0.7959,kbRot,0.86449740,0.15243420,0.47168920,-0.08317154,,,,,,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,kbPos,-0.2683,-0.0570,0.7959;,kbRot,0.86449740,0.15243420,0.47168920,-0.08317154,,
h_x,h_y,h_z,p_z,p_y,p_z,head_x,head_y,head_z,head_q_w,head_q_w,head_q_x,head_q_z,t,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2951,-0.1645,0.6983,-0.2590,-0.0715,0.7642,-0.7568,0.1439,0.5475,0.863428,0.136549,0.481415,-0.063931,660968.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2951,-0.1645,0.6983,-0.2590,-0.0715,0.7642,-0.7569,0.1439,0.5476,0.863459,0.136204,0.481425,-0.064167,660985.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2948,-0.1645,0.6987,-0.2587,-0.0716,0.7646,-0.7569,0.1440,0.5476,0.863450,0.136114,0.481481,-0.064065,661001.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2945,-0.1646,0.6991,-0.2584,-0.0716,0.7650,-0.7570,0.1440,0.5475,0.863450,0.136362,0.481440,-0.063840,661018.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2945,-0.1646,0.6991,-0.2584,-0.0716,0.7650,-0.7570,0.1440,0.5475,0.863531,0.136346,0.481348,-0.063471,661034.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2945,-0.1646,0.6991,-0.2585,-0.0716,0.7650,-0.7571,0.1440,0.5475,0.863625,0.136459,0.481156,-0.063403,661050.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2945,-0.1646,0.6991,-0.2585,-0.0716,0.7651,-0.7574,0.1441,0.5477,0.863780,0.136264,0.480985,-0.063002,661067.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2937,-0.1644,0.7002,-0.2577,-0.0715,0.7661,-0.7574,0.1442,0.5478,0.864047,0.135833,0.480679,-0.062615,661084.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2937,-0.1644,0.7002,-0.2577,-0.0715,0.7661,-0.7574,0.1443,0.5479,0.864117,0.135778,0.480536,-0.062853,661101.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2937,-0.1644,0.7002,-0.2578,-0.0714,0.7661,-0.7575,0.1443,0.5479,0.864209,0.135573,0.480420,-0.062930,661117.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2937,-0.1644,0.7002,-0.2578,-0.0714,0.7661,-0.7575,0.1443,0.5478,0.864186,0.135498,0.480447,-0.063201,661134.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2940,-0.1644,0.7003,-0.2580,-0.0715,0.7663,-0.7575,0.1442,0.5478,0.863990,0.135626,0.480718,-0.063539,661150.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2940,-0.1644,0.7003,-0.2580,-0.0715,0.7662,-0.7576,0.1442,0.5476,0.863825,0.135901,0.480929,-0.063599,661168.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2938,-0.1644,0.7007,-0.2578,-0.0714,0.7667,-0.7576,0.1442,0.5475,0.863743,0.135833,0.481123,-0.063386,661183.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2938,-0.1644,0.7007,-0.2578,-0.0714,0.7666,-0.7577,0.1443,0.5474,0.863634,0.135647,0.481375,-0.063361,661200.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2938,-0.1643,0.7009,-0.2578,-0.0714,0.7668,-0.7577,0.1443,0.5473,0.863601,0.135302,0.481529,-0.063382,661217.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2938,-0.1643,0.7009,-0.2577,-0.0714,0.7667,-0.7579,0.1444,0.5472,0.863546,0.135099,0.481704,-0.063231,661234.40,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2938,-0.1643,0.7011,-0.2577,-0.0714,0.7669,-0.7580,0.1445,0.5471,0.863476,0.134877,0.481920,-0.063016,661251.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2938,-0.1643,0.7011,-0.2577,-0.0714,0.7669,-0.7581,0.1445,0.5470,0.863449,0.134801,0.482023,-0.062753,661267.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2854,-0.1681,0.7086,-0.2493,-0.0752,0.7745,-0.7582,0.1446,0.5470,0.863493,0.134716,0.482040,-0.062198,661284.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2854,-0.1681,0.7086,-0.2493,-0.0752,0.7745,-0.7583,0.1447,0.5469,0.863598,0.134651,0.481914,-0.061858,661300.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2815,-0.1702,0.7092,-0.2453,-0.0772,0.7751,-0.7585,0.1447,0.5469,0.863656,0.134537,0.481858,-0.061739,661317.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2815,-0.1702,0.7092,-0.2453,-0.0772,0.7751,-0.7586,0.1448,0.5469,0.863729,0.134367,0.481810,-0.061460,661334.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2792,-0.1712,0.7102,-0.2431,-0.0782,0.7760,-0.7587,0.1448,0.5469,0.863810,0.134300,0.481736,-0.061035,661351.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2792,-0.1712,0.7102,-0.2431,-0.0782,0.7760,-0.7587,0.1449,0.5469,0.863841,0.134136,0.481744,-0.060903,661367.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2794,-0.1712,0.7099,-0.2433,-0.0782,0.7758,-0.7588,0.1449,0.5469,0.863856,0.134251,0.481704,-0.060760,661384.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2794,-0.1712,0.7099,-0.2433,-0.0782,0.7758,-0.7589,0.1450,0.5469,0.863937,0.134335,0.481581,-0.060382,661400.60,,,,,,,,,,,,,,,,,,,,,,,,,,
