,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,Unlabeled 1946,Unlabeled 1946,Unlabeled 1946,Unlabeled 1991,Unlabeled 1991,Unlabeled 1991,Unlabeled 1992,Unlabeled 1992,Unlabeled 1992,Unlabeled 1993,Unlabeled 1993,Unlabeled 1993,Unlabeled 1994,Unlabeled 1994,Unlabeled 1994,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker4,lh_rb_v2:Marker4,lh_rb_v2:Marker4
,ID,"89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","D9E50","D9E50","D9E50","DB240","DB240","DB240","DB250","DB250","DB250","DB260","DB260","DB260","DB270","DB270","DB270","D9D10","D9D10","D9D10","D9CF0","D9CF0","D9CF0","D9D20","D9D20","D9D20","D9D00","D9D00","D9D00"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,0.291667,-0.169439,0.069954,-0.019178,-0.982868,0.058863,1.302505,0.058923,-0.070483,1.055180,0.525726,,,,,,,,,,,,,0.007125,1.319301,0.055115,0.053344,1.290594,0.092289,0.056508,1.335691,0.070482,0.098715,1.310027,0.065749
36,0.300000,-0.169359,0.069875,-0.019161,-0.982888,0.058902,1.302512,0.058920,-0.069012,1.055188,0.525860,,,,,,,,,,,,,0.007165,1.319312,0.055119,0.053392,1.290601,0.092291,0.056547,1.335701,0.070469,0.098756,1.310036,0.065740
37,0.308333,-0.169438,0.069769,-0.019122,-0.982882,0.058943,1.302525,0.058908,-0.067491,1.055151,0.525953,,,,,,,,,,,,,0.007206,1.319325,0.055124,0.053441,1.290613,0.092273,0.056593,1.335714,0.070463,0.098796,1.310044,0.065724
38,0.316667,-0.169465,0.069627,-0.018995,-0.982890,0.058990,1.302545,0.058906,-0.065971,1.055172,0.526112,,,,,,,,,,,,,0.007263,1.319363,0.055145,0.053497,1.290628,0.092272,0.056641,1.335726,0.070455,0.098843,1.310059,0.065714
39,0.325000,-0.169478,0.069423,-0.018894,-0.982904,0.059030,1.302565,0.058906,-0.064423,1.055221,0.526251,,,,,,,,,,,,,0.007297,1.319391,0.055170,0.053550,1.290645,0.092273,0.056690,1.335747,0.070452,0.098895,1.310074,0.065700
40,0.333333,-0.169728,0.069265,-0.018897,-0.982872,0.059082,1.302587,0.058884,-0.063199,1.055458,0.526526,,,,,,,,,,,,,0.007344,1.319407,0.055176,0.053622,1.290658,0.092236,0.056742,1.335764,0.070447,0.098945,1.310090,0.065677
41,0.341667,-0.169600,0.069083,-0.018836,-0.982908,0.059132,1.302596,0.058875,-0.061343,1.055415,0.526637,,,,,,,,,,,,,0.007388,1.319422,0.055185,0.053683,1.290680,0.092229,0.056806,1.335764,0.070427,0.098995,1.310104,0.065656
42,0.350000,-0.169618,0.068948,-0.018854,-0.982914,0.059180,1.302613,0.058865,-0.059675,1.055391,0.526673,,,,,,,,,,,,,0.007431,1.319434,0.055188,0.053740,1.290695,0.092220,0.056859,1.335781,0.070419,0.099044,1.310127,0.065635
43,0.358333,-0.169545,0.068753,-0.018843,-0.982941,0.059221,1.302620,0.058853,-0.058017,1.055463,0.526809,,,,,,,,,,,,,0.007469,1.319437,0.055190,0.053794,1.290707,0.092216,0.056905,1.335790,0.070407,0.099088,1.310135,0.065602
44,0.366667,-0.169438,0.068546,-0.018851,-0.982974,0.059260,1.302628,0.058846,-0.056352,1.055549,0.526938,,,,,,,,,,,,,0.007508,1.319444,0.055196,0.053847,1.290718,0.092220,0.056946,1.335801,0.070393,0.099127,1.310151,0.065573
45,0.375000,-0.169396,0.068407,-0.018885,-0.982990,0.059304,1.302640,0.058835,-0.054661,1.055709,0.527181,,,,,,,,,,,,,0.007547,1.319453,0.055196,0.053905,1.290734,0.092211,0.056988,1.335808,0.070378,0.099171,1.310169,0.065554
46,0.383333,-0.169403,0.068222,-0.018911,-0.983001,0.059347,1.302655,0.058823,-0.052940,1.055802,0.527319,,,,,,,,,,,,,0.007587,1.319463,0.055204,0.053960,1.290747,0.092201,0.057032,1.335819,0.070365,0.099215,1.310190,0.065528
47,0.391667,-0.169286,0.068094,-0.018898,-0.983030,0.059391,1.302667,0.058816,-0.051169,1.055800,0.527350,,,,,,,,,,,,,0.007631,1.319478,0.055205,0.054014,1.290768,0.092201,0.057079,1.335830,0.070351,0.099259,1.310207,0.065509
48,0.400000,-0.169287,0.067996,-0.018924,-0.983036,0.059446,1.302685,0.058809,-0.049400,1.055886,0.527510,,,,,,,,,,,,,0.007677,1.319493,0.055204,0.054083,1.290784,0.092196,0.057135,1.335847,0.070344,0.099311,1.310227,0.065496
49,0.408333,-0.169183,0.067868,-0.018882,-0.983064,0.059503,1.302695,0.058798,-0.047919,1.056076,0.527732,,,,,,,,,,,,,0.007731,1.319505,0.055203,0.054149,1.290810,0.092183,0.057201,1.335851,0.070329,0.099370,1.310239,0.065474
