# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z, kb_pos_x,kb_pos_y,kb_pos_z,kb_rot_w,kb_rot_x,kb_rot_y,kb_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
0.282831,1.165353,0.753917,0.63105820,0.19157150,0.74182000,-0.12152810,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.160346,1.216226,0.283408,0.97293610,0.20705970,-0.06876390,-0.07611241,26185
0.288750,1.173718,0.759535,0.64980170,0.17289530,0.73676150,-0.07104585,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.070065,1.227935,0.249724,0.92745100,0.18150220,-0.32540120,-0.03171371,28186
0.264692,1.180770,0.696722,0.39207990,0.14169540,0.90610800,-0.07186170,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.029299,1.246426,0.206881,0.82835430,0.10985880,-0.54830070,-0.03356458,30186
0.247454,1.187696,0.677218,0.19787140,0.09290536,0.97551210,-0.02432502,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.009262,1.258411,0.143877,0.78671430,0.05021000,-0.61504450,0.01673151,32186
0.203977,1.197600,0.658219,0.12343680,0.01691134,0.99210350,-0.01442798,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.005021,1.263620,0.119546,0.78272850,0.01964642,-0.62094920,0.03704502,34192
0.186024,1.202326,0.653874,0.11613440,-0.01708636,0.99305910,-0.00738221,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.128071,1.208462,0.287395,0.96815240,0.22127870,-0.11684170,-0.00804455,36199
0.293739,1.164773,0.739381,0.59952440,0.14203120,0.77896170,-0.11668910,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.039820,1.237216,0.223526,0.85465430,0.12577520,-0.50288250,-0.02925487,38199
0.270576,1.174864,0.695908,0.33035750,0.11444390,0.93401170,-0.07340797,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.155479,1.213823,0.288874,0.97671100,0.19477290,-0.08399928,-0.03229981,40208
0.297652,1.167884,0.761861,0.64021380,0.13783150,0.75080190,-0.08617024,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.159578,1.211000,0.288088,0.97450930,0.20589550,-0.08059546,-0.03798788,42214
0.295823,1.166914,0.762383,0.64078750,0.15057950,0.74693240,-0.09385699,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.157121,1.211786,0.292436,0.97550980,0.20084110,-0.08421925,-0.03083401,44216
0.300179,1.166014,0.763399,0.63940220,0.14593950,0.74858620,-0.09739266,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.157611,1.209703,0.292554,0.97362240,0.20990740,-0.08260558,-0.03427383,46224
0.298338,1.163981,0.763261,0.63421780,0.15414590,0.75040660,-0.10438790,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.147326,1.198533,0.292850,0.96513350,0.24295320,-0.08994856,-0.03742142,48224
0.295958,1.159630,0.756806,0.63825110,0.18167020,0.73905390,-0.11589110,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.163573,1.210751,0.287800,0.97328160,0.21211780,-0.07381128,-0.04775806,50225
0.297564,1.166614,0.769818,0.64871640,0.16058520,0.73820060,-0.09186592,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.158988,1.208763,0.287464,0.97067080,0.21884810,-0.08825756,-0.04598208,52232
0.293767,1.165610,0.758398,0.63286350,0.16502200,0.75023630,-0.09693848,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.158178,1.211227,0.286119,0.97234220,0.21156150,-0.08455830,-0.05140286,54239
0.292748,1.166891,0.763764,0.64245460,0.16830780,0.74259090,-0.08650598,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.157144,1.209575,0.287301,0.97153120,0.21971520,-0.07793443,-0.04217513,56239
0.295272,1.165668,0.768590,0.64525530,0.16834570,0.73939520,-0.09273700,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.180012,1.170507,0.320263,0.94105080,0.30710350,-0.08531069,-0.11328260,58240
0.316817,1.137408,0.780960,0.62697860,0.29485100,0.71613380,-0.08433964,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.138462,1.204011,0.276318,0.96518000,0.24070700,-0.09217676,-0.04462358,60246
0.265867,1.174121,0.726872,0.63017460,0.14043700,0.75388930,-0.12169030,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.273223,0.859531,0.558684,0.92237500,0.38545980,0.02448556,0.00675393,62260
0.573904,0.772240,0.881504,0.68346310,0.17796780,0.68722180,-0.17009380,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.252561,0.766443,0.577028,0.98810550,0.12952490,-0.08015819,0.02110807,64276
0.594324,0.707010,0.874255,0.64796920,0.05684168,0.75493880,-0.08350049,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.247696,0.766913,0.577885,0.98972050,0.12660680,-0.06602207,0.00808342,66280
0.597729,0.706922,0.864828,0.65460220,-0.00084476,0.74693580,-0.11654240,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.248958,0.766575,0.577483,0.98880540,0.12711050,-0.07547805,0.02024655,68288
