Format Version,1.23,Take Name,kb_qpz,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-10-28 06.10.32.672 PM,Total Frames in Take,6538,Total Exported Frames,6538,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.155066,0.019132,-0.047891,-0.986557,0.019852,1.218455,0.376599,-0.080796,0.604636,0.742931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033042,1.231589,0.377022,0.018318,1.207401,0.410713,0.016194,1.251611,0.387065,0.059239,1.229146,0.379647
17,0.141667,-0.155244,0.019234,-0.047878,-0.986528,0.019833,1.218484,0.376565,-0.080790,0.604637,0.742927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033050,1.231625,0.376995,0.018277,1.207395,0.410685,0.016173,1.251639,0.387022,0.059229,1.229187,0.379626
18,0.150000,-0.155204,0.019238,-0.047922,-0.986532,0.019827,1.218529,0.376546,-0.080786,0.604633,0.742925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033055,1.231665,0.376973,0.018270,1.207440,0.410669,0.016161,1.251689,0.387001,0.059222,1.229234,0.379605
19,0.158333,-0.155141,0.019266,-0.047929,-0.986541,0.019822,1.218566,0.376530,-0.080780,0.604622,0.742923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033058,1.231704,0.376954,0.018263,1.207476,0.410656,0.016153,1.251729,0.386976,0.059215,1.229274,0.379592
20,0.166667,-0.155059,0.019250,-0.047953,-0.986553,0.019818,1.218595,0.376512,-0.080773,0.604626,0.742919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033062,1.231729,0.376932,0.018258,1.207508,0.410644,0.016150,1.251761,0.386954,0.059213,1.229306,0.379567
21,0.175000,-0.155030,0.019243,-0.047909,-0.986560,0.019816,1.218618,0.376496,-0.080767,0.604622,0.742920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033061,1.231756,0.376915,0.018256,1.207532,0.410631,0.016149,1.251788,0.386938,0.059212,1.229325,0.379548
22,0.183333,-0.155047,0.019251,-0.047853,-0.986560,0.019819,1.218640,0.376484,-0.080766,0.604618,0.742917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033060,1.231777,0.376902,0.018257,1.207550,0.410621,0.016163,1.251824,0.386930,0.059213,1.229339,0.379534
23,0.191667,-0.155069,0.019248,-0.047825,-0.986558,0.019819,1.218653,0.376469,-0.080768,0.604597,0.742920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033059,1.231792,0.376889,0.018257,1.207563,0.410603,0.016164,1.251841,0.386917,0.059214,1.229348,0.379519
24,0.200000,-0.154957,0.019274,-0.047763,-0.986578,0.019825,1.218663,0.376458,-0.080763,0.604608,0.742921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033041,1.231810,0.376873,0.018259,1.207581,0.410596,0.016169,1.251852,0.386901,0.059217,1.229353,0.379505
25,0.208333,-0.154979,0.019264,-0.047759,-0.986575,0.019831,1.218675,0.376445,-0.080765,0.604612,0.742919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033034,1.231823,0.376861,0.018267,1.207590,0.410583,0.016174,1.251865,0.386887,0.059222,1.229365,0.379491
26,0.216667,-0.154857,0.019232,-0.047722,-0.986596,0.019833,1.218686,0.376432,-0.080770,0.604604,0.742923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033029,1.231840,0.376850,0.018273,1.207605,0.410573,0.016171,1.251884,0.386862,0.059228,1.229371,0.379475
27,0.225000,-0.154830,0.019232,-0.047730,-0.986600,0.019841,1.218699,0.376421,-0.080769,0.604606,0.742922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033020,1.231851,0.376840,0.018281,1.207619,0.410561,0.016181,1.251897,0.386847,0.059232,1.229385,0.379467
28,0.233333,-0.154835,0.019194,-0.047690,-0.986602,0.019846,1.218709,0.376410,-0.080775,0.604621,0.742922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033013,1.231864,0.376834,0.018288,1.207627,0.410550,0.016186,1.251911,0.386836,0.059240,1.229391,0.379452
29,0.241667,-0.154774,0.019167,-0.047703,-0.986611,0.019854,1.218718,0.376401,-0.080780,0.604625,0.742918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033005,1.231872,0.376826,0.018298,1.207640,0.410544,0.016194,1.251919,0.386823,0.059247,1.229402,0.379440
30,0.250000,-0.154301,0.018997,-0.047745,-0.986687,0.019872,1.218732,0.376402,-0.080786,0.604638,0.742915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032996,1.231883,0.376819,0.018348,1.207713,0.410543,0.016203,1.251928,0.386810,0.059261,1.229409,0.379422
31,0.258333,-0.154250,0.018945,-0.047725,-0.986697,0.019879,1.218740,0.376391,-0.080790,0.604640,0.742912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032986,1.231893,0.376813,0.018358,1.207727,0.410533,0.016211,1.251939,0.386798,0.059267,1.229415,0.379406
32,0.266667,-0.154218,0.018898,-0.047719,-0.986703,0.019889,1.218754,0.376381,-0.080790,0.604655,0.742908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032976,1.231907,0.376805,0.018372,1.207741,0.410525,0.016219,1.251953,0.386786,0.059278,1.229428,0.379391
