,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,Unlabeled 1345,Unlabeled 1345,Unlabeled 1345,Unlabeled 1350,Unlabeled 1350,Unlabeled 1350,Unlabeled 1351,Unlabeled 1351,Unlabeled 1351,Unlabeled 1394,Unlabeled 1394,Unlabeled 1394,Unlabeled 1395,Unlabeled 1395,Unlabeled 1395,Unlabeled 1402,Unlabeled 1402,Unlabeled 1402,Unlabeled 1403,Unlabeled 1403,Unlabeled 1403,Unlabeled 1416,Unlabeled 1416,Unlabeled 1416,Unlabeled 1417,Unlabeled 1417,Unlabeled 1417,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker4,lh_rb_v2:Marker4,lh_rb_v2:Marker4
,ID,"89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","C75F0","C75F0","C75F0","C8990","C8990","C8990","C89A0","C89A0","C89A0","C8C50","C8C50","C8C50","C8C60","C8C60","C8C60","C8CD0","C8CD0","C8CD0","C8CE0","C8CE0","C8CE0","C8DB0","C8DB0","C8DB0","C8DC0","C8DC0","C8DC0","C8430","C8430","C8430","C8240","C8240","C8240","C8460","C8460","C8460","C8220","C8220","C8220"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,0.175000,-0.139230,0.043303,-0.053330,-0.987874,0.026959,1.285703,0.291449,-0.018260,1.111816,0.711806,,,,,,,,,,,,,,,,,,,,,,,,,-0.026008,1.298596,0.288757,0.023653,1.275706,0.325755,0.022631,1.319260,0.300850,0.066360,1.296509,0.296098
22,0.183333,-0.139194,0.043309,-0.053275,-0.987882,0.026977,1.285713,0.291459,-0.018298,1.111818,0.711810,,,,,,,,,,,,,,,,,,,,,,,,,-0.025987,1.298614,0.288766,0.023669,1.275719,0.325767,0.022650,1.319270,0.300858,0.066380,1.296516,0.296105
23,0.191667,-0.139081,0.043335,-0.053210,-0.987900,0.026996,1.285721,0.291468,-0.018364,1.111851,0.711855,,,,,,,,,,,,,,,,,,,,,,,,,-0.025967,1.298630,0.288769,0.023686,1.275735,0.325779,0.022673,1.319279,0.300860,0.066399,1.296519,0.296114
24,0.200000,-0.147005,0.043886,-0.055367,-0.986609,0.026902,1.286194,0.291584,-0.018426,1.111842,0.711884,0.061911,1.240983,0.298349,-0.001502,1.234436,0.292154,,,,,,,,,,,,,,,,,,,-0.025912,1.298680,0.288819,0.023706,1.275747,0.325788,0.021947,1.320268,0.301979,0.066417,1.296529,0.296127
25,0.208333,-0.147017,0.043931,-0.055359,-0.986606,0.026925,1.286198,0.291580,-0.018483,1.111825,0.711904,0.061920,1.241029,0.298390,-0.001489,1.234462,0.292178,,,,,,,,,,,,,,,,,,,-0.025888,1.298686,0.288811,0.023727,1.275749,0.325784,0.021971,1.320271,0.301974,0.066439,1.296533,0.296128
26,0.216667,-0.147827,0.044081,-0.055285,-0.986483,0.026965,1.286240,0.291594,-0.018551,1.111795,0.711905,,,,,,,,,,,,,,,,,,,,,,,,,-0.025861,1.298694,0.288805,0.023750,1.275756,0.325782,0.022044,1.320353,0.302118,0.066470,1.296535,0.296129
27,0.225000,-0.147799,0.044092,-0.055228,-0.986489,0.026994,1.286237,0.291586,-0.018671,1.111898,0.712007,,,,,,,,,,,,,,,,,,,,,,,,,-0.025829,1.298695,0.288795,0.023778,1.275755,0.325774,0.022078,1.320355,0.302110,0.066499,1.296526,0.296118
28,0.233333,-0.147816,0.044103,-0.055173,-0.986489,0.027031,1.286242,0.291580,-0.018697,1.111840,0.711914,,,,,,,,,,,,,,,,,,,,,,,,,-0.025791,1.298708,0.288788,0.023816,1.275759,0.325768,0.022116,1.320358,0.302106,0.066537,1.296526,0.296113
29,0.241667,-0.147786,0.044129,-0.055099,-0.986497,0.027069,1.286249,0.291572,-0.018705,1.111866,0.711894,,,,,,,,,,,,,,,,,,,,,,,,,-0.025752,1.298724,0.288781,0.023851,1.275769,0.325758,0.022157,1.320364,0.302091,0.066578,1.296527,0.296110
30,0.250000,-0.147592,0.044283,-0.055243,-0.986511,0.027118,1.286252,0.291566,-0.018665,1.111884,0.711866,,,,,,,,,,,,,,,,,,,,,,,,,-0.025694,1.298704,0.288747,0.023884,1.275786,0.325756,0.022196,1.320391,0.302087,0.066614,1.296533,0.296105
