kbPos,-0.8903,0.1796,-0.9374,kbRot,20.0000,273.7352,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_x,h_y,h_z,p_z,p_y,p_z,head_x,head_y,head_z,head_q_w,head_q_w,head_q_x,head_q_z,t,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3130,-0.9875,0.713150,0.134635,-0.683941,0.074271,1103803.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3130,-0.9875,0.713108,0.134746,-0.683966,0.074238,1103819.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3130,-0.9876,0.713096,0.134959,-0.683937,0.074231,1103836.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3129,-0.9876,0.713109,0.134983,-0.683922,0.074198,1103853.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3130,-0.9876,0.713139,0.134895,-0.683891,0.074363,1103869.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3129,-0.9876,0.713101,0.134986,-0.683893,0.074543,1103886.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3129,-0.9876,0.713029,0.134962,-0.683934,0.074889,1103903.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8879,-0.4922,0.3129,-0.9877,0.712907,0.135019,-0.684027,0.075100,1103919.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8866,-0.1286,-0.8879,-0.4922,0.3129,-0.9878,0.712729,0.134983,-0.684212,0.075172,1103936.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8866,-0.1286,-0.8879,-0.4922,0.3129,-0.9879,0.712600,0.134976,-0.684340,0.075244,1103953.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8866,-0.1286,-0.8879,-0.4922,0.3129,-0.9880,0.712363,0.135174,-0.684549,0.075228,1103969.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8866,-0.1286,-0.8880,-0.4921,0.3129,-0.9881,0.712075,0.135372,-0.684798,0.075342,1103986.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8866,-0.1286,-0.8880,-0.4921,0.3130,-0.9884,0.711762,0.135710,-0.685061,0.075289,1104003.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8865,-0.1286,-0.8881,-0.4920,0.3130,-0.9886,0.711385,0.135898,-0.685404,0.075395,1104019.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8865,-0.1286,-0.8882,-0.4919,0.3131,-0.9889,0.710753,0.136171,-0.685954,0.075866,1104035.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8865,-0.1286,-0.8883,-0.4918,0.3131,-0.9893,0.710109,0.136464,-0.686525,0.076203,1104053.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8864,-0.1286,-0.8884,-0.4919,0.3132,-0.9897,0.709454,0.136506,-0.687204,0.076107,1104070.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8864,-0.1286,-0.8885,-0.4921,0.3133,-0.9902,0.708798,0.135720,-0.688016,0.076283,1104086.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8863,-0.1286,-0.8886,-0.4924,0.3134,-0.9906,0.708062,0.134748,-0.688918,0.076702,1104102.00,,,,,,,,,,,,,,,,,,,,,,,,,
