Scribe: Realistic Handriting in Tensorflow
     by Sam Greydanus



TRAINING MODE...
Namespace(alphabet=' abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ', batch_size=32, bias=1.0, data_dir='./data', data_scale=50, decay=0.95, dropout=0.85, grad_clip=10.0, kmixtures=1, learning_rate=0.0001, log_dir='./logs/', lr_decay=1.0, momentum=0.9, nbatches=500, nepochs=250, nmixtures=8, optimizer='rmsprop', rnn_size=100, save_every=500, save_path='saved/model.ckpt', sleep_time=300, style=-1, text='', train=True, tsteps=2650, tsteps_per_ascii=25)

loading data...
	loaded dataset:
		970 train individual data points
		51 valid individual data points
		30 batches
building model...
	using alphabet abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
attempt to load saved model...
loaded model: saved\model.ckpt-89000
training...
learning rate: 9.999999747378752e-05
89860/125000, loss = -15.925, regloss = -15.06085, valid_loss = -13.577, time = 3.583
89870/125000, loss = -16.175, regloss = -15.05315, valid_loss = -10.594, time = 3.510
89880/125000, loss = -13.534, regloss = -14.79736, valid_loss = -14.236, time = 3.529
89890/125000, loss = -14.777, regloss = -14.78248, valid_loss = -12.275, time = 3.516
89900/125000, loss = -13.735, regloss = -14.77341, valid_loss = -14.044, time = 3.522
89910/125000, loss = -15.391, regloss = -14.79491, valid_loss = -13.543, time = 3.502
89920/125000, loss = -14.786, regloss = -14.82765, valid_loss = -13.841, time = 3.570
89930/125000, loss = -14.698, regloss = -14.85959, valid_loss = -14.452, time = 3.291
89940/125000, loss = -15.638, regloss = -14.92072, valid_loss = -14.548, time = 3.542
89950/125000, loss = -13.094, regloss = -14.82368, valid_loss = -14.493, time = 3.536
89960/125000, loss = -11.944, regloss = -14.68465, valid_loss = -13.726, time = 3.486
89970/125000, loss = -10.101, regloss = -14.58140, valid_loss = -11.546, time = 3.551
89980/125000, loss = -11.181, regloss = -14.50889, valid_loss = -12.965, time = 3.530
89990/125000, loss = -14.141, regloss = -14.47007, valid_loss = -13.087, time = 3.530
learning rate: 9.999999747378752e-05
SAVED MODEL
90000/125000, loss = -13.023, regloss = -14.36641, valid_loss = -8.670, time = 3.695
90010/125000, loss = -11.905, regloss = -14.15969, valid_loss = -14.096, time = 3.619
90020/125000, loss = -13.731, regloss = -14.09771, valid_loss = -9.941, time = 3.289
90030/125000, loss = -11.711, regloss = -13.99400, valid_loss = -13.662, time = 3.664
90040/125000, loss = -14.076, regloss = -13.99946, valid_loss = -10.829, time = 3.528
